host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,price_per_bedroom,num_amenities
2951,100.0,100.0,True,11,15,True,True,42.66565,-73.77975,15,1,2,1.0,1.0,1.0,36.0,18,1125,18,1125,18.0,1125.0,6,36,66,341,46,6,1,182,3,216,2574.0,59.0,4.78,4.85,4.72,4.98,4.96,4.65,4.67,True,3,0,3,0.54,36.0,46
3204,100.0,98.0,True,8,8,True,True,42.65372,-73.78244,7,0,2,1.0,1.0,1.0,60.0,2,730,2,730,2.0,730.0,0,0,8,260,131,18,4,101,17,108,2796.0,45.0,4.85,4.89,4.85,4.91,4.93,4.88,4.83,False,8,2,6,1.42,60.0,44
4615,100.0,89.0,True,8,13,True,True,42.67547,-73.82402,4,0,15,1.5,4.0,4.0,582.0,4,1125,4,1125,4.0,1125.0,30,60,90,365,8,0,0,206,0,0,2761.0,2547.0,5.0,5.0,5.0,5.0,4.88,5.0,4.88,False,8,8,0,0.09,145.5,38
2847,100.0,99.0,True,9,17,True,True,42.66045,-73.77833,7,0,4,1.0,1.0,2.0,67.0,3,730,3,730,3.0,730.0,20,36,66,341,181,14,1,182,21,84,2789.0,53.0,4.75,4.86,4.77,4.92,4.98,4.56,4.76,False,9,9,0,1.97,67.0,36
2951,100.0,100.0,True,11,15,True,True,42.66572,-73.77834,15,1,2,1.0,1.0,1.0,37.0,18,1125,18,1125,18.0,1125.0,0,5,35,310,32,7,0,151,9,252,2758.0,139.0,4.84,4.78,4.69,4.97,4.97,4.69,4.69,True,3,0,3,0.35,37.0,44
2951,100.0,100.0,True,11,15,True,True,42.66703,-73.77842,15,1,1,1.0,1.0,1.0,35.0,18,1125,18,1125,18.0,1125.0,0,0,0,157,26,4,0,0,4,144,2770.0,174.0,4.77,4.65,4.58,4.96,5.0,4.69,4.73,True,3,0,3,0.29,35.0,44
3204,100.0,98.0,True,8,8,True,True,42.65501,-73.78122,15,1,2,1.0,1.0,1.0,54.0,2,1125,2,1125,2.0,1125.0,16,37,55,330,121,15,0,171,14,90,2742.0,97.0,4.91,4.9,4.92,4.98,4.93,4.93,4.83,False,8,2,6,1.34,54.0,34
2820,100.0,11.0,False,1,4,True,True,42.65975,-73.81196,13,1,2,1.0,1.0,1.0,68.0,2,1125,2,1125,2.0,1125.0,0,3,32,32,122,1,0,32,5,6,2643.0,313.0,4.93,4.95,4.96,4.97,4.98,4.97,4.97,False,1,0,1,1.4,68.0,32
3204,100.0,98.0,True,8,8,True,True,42.65431,-73.78178,13,1,2,1.0,1.0,1.0,71.0,2,730,2,730,2.0,730.0,10,27,49,324,50,9,0,165,7,54,2469.0,75.0,4.94,4.96,4.94,4.96,4.96,4.96,4.88,False,8,2,6,0.62,71.0,34
4281,68.0,75.0,True,1,1,True,True,42.65345,-73.7645,2,0,2,1.0,1.0,1.0,72.0,1,1125,1,1125,1.0,1125.0,7,26,49,134,928,110,5,134,133,255,2595.0,54.0,4.9,4.94,4.9,4.97,4.95,4.92,4.92,False,1,1,0,10.88,72.0,42
